Detector Type,Descriptor Type,Matching type,Sel Type,Frame_ID,Camera TTC (s),Lidar TTC(s),Difference TTC
SHITOMASI,SHITOMASI,BRIEF,MAT_BF,SEL_NN,1,14.65969573,12.97215890,1.68753683
SHITOMASI,SHITOMASI,BRIEF,MAT_BF,SEL_NN,2,13.56682572,12.26403761,1.30278811
SHITOMASI,SHITOMASI,BRIEF,MAT_BF,SEL_NN,3,10.00895559,16.96304201,-6.95408642
SHITOMASI,SHITOMASI,BRIEF,MAT_BF,SEL_NN,4,13.79452009,13.12542026,0.66909983
SHITOMASI,SHITOMASI,BRIEF,MAT_BF,SEL_NN,5,12.73359909,12.59510889,0.13849020
SHITOMASI,SHITOMASI,BRIEF,MAT_BF,SEL_NN,6,13.89523156,13.86901356,0.02621800
SHITOMASI,SHITOMASI,BRIEF,MAT_BF,SEL_NN,7,15.93136574,15.15608686,0.77527888
SHITOMASI,SHITOMASI,BRIEF,MAT_BF,SEL_NN,8,12.87112651,15.36522319,-2.49409668
SHITOMASI,SHITOMASI,BRIEF,MAT_BF,SEL_NN,9,11.24651799,12.24264888,-0.99613088
SHITOMASI,SHITOMASI,BRIEF,MAT_BF,SEL_NN,10,13.28096844,13.72965491,-0.44868647
SHITOMASI,SHITOMASI,BRIEF,MAT_BF,SEL_NN,11,11.62145980,10.49140265,1.13005715
SHITOMASI,SHITOMASI,BRIEF,MAT_BF,SEL_NN,12,11.01867674,10.09999603,0.91868071
SHITOMASI,SHITOMASI,BRIEF,MAT_BF,SEL_NN,13,12.07669985,9.22306851,2.85363135
SHITOMASI,SHITOMASI,BRIEF,MAT_BF,SEL_NN,14,11.87811677,10.96776340,0.91035337
SHITOMASI,SHITOMASI,BRIEF,MAT_BF,SEL_NN,15,12.23998672,8.09421824,4.14576848
SHITOMASI,SHITOMASI,BRIEF,MAT_BF,SEL_NN,16,8.91158557,9.16582132,-0.25423575
SHITOMASI,SHITOMASI,BRIEF,MAT_BF,SEL_NN,17,10.49772299,9.85140428,0.64631870
SHITOMASI,SHITOMASI,BRIEF,MAT_BF,SEL_NN,18,8.40750595,8.30977868,0.09772727
SHITOMASI,SHITOMASI,ORB,MAT_BF,SEL_NN,1,14.28042277,12.97215890,1.30826387
SHITOMASI,SHITOMASI,ORB,MAT_BF,SEL_NN,2,12.55099701,12.26403761,0.28695940
SHITOMASI,SHITOMASI,ORB,MAT_BF,SEL_NN,3,11.55150551,16.96304201,-5.41153650
SHITOMASI,SHITOMASI,ORB,MAT_BF,SEL_NN,4,12.91235559,13.12542026,-0.21306467
SHITOMASI,SHITOMASI,ORB,MAT_BF,SEL_NN,5,12.26415614,12.59510889,-0.33095275
SHITOMASI,SHITOMASI,ORB,MAT_BF,SEL_NN,6,13.39504247,13.86901356,-0.47397109
SHITOMASI,SHITOMASI,ORB,MAT_BF,SEL_NN,7,13.30171772,15.15608686,-1.85436914
SHITOMASI,SHITOMASI,ORB,MAT_BF,SEL_NN,8,12.75420494,15.36522319,-2.61101825
SHITOMASI,SHITOMASI,ORB,MAT_BF,SEL_NN,9,11.03204484,12.24264888,-1.21060403
SHITOMASI,SHITOMASI,ORB,MAT_BF,SEL_NN,10,13.37617383,13.72965491,-0.35348108
SHITOMASI,SHITOMASI,ORB,MAT_BF,SEL_NN,11,10.64034222,10.49140265,0.14893957
SHITOMASI,SHITOMASI,ORB,MAT_BF,SEL_NN,12,11.72608846,10.09999603,1.62609243
SHITOMASI,SHITOMASI,ORB,MAT_BF,SEL_NN,13,11.66970028,9.22306851,2.44663177
SHITOMASI,SHITOMASI,ORB,MAT_BF,SEL_NN,14,11.48234153,10.96776340,0.51457813
SHITOMASI,SHITOMASI,ORB,MAT_BF,SEL_NN,15,10.42368644,8.09421824,2.32946821
SHITOMASI,SHITOMASI,ORB,MAT_BF,SEL_NN,16,11.75752654,9.16582132,2.59170522
